Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Anton Forsberg, 27.181818181818183, 26.607692307692307, 26.2, 26.349206349206348
Josh Norris, 2.111111111111111, 2.1954887218045114, 2.5, 2.3181818181818183
Claude Giroux, 2.6584158415841586, 2.5944700460829493, 2.888888888888889, 2.695970695970696
Derick Brassard, 1.917412935323383, 2.0252918287937742, 1.8603351955307263, 1.9230769230769231
Nick Holden, 1.2233009708737863, 1.184782608695652, 1.2469135802469136, 1.1538461538461537
Travis Hamonic, 1.8632911392405063, 1.7936305732484077, 1.8291139240506329, 1.2941176470588236
Cam Talbot, 27.9875, 26.794392523364486, 27.142857142857142, 26.401826484018265
Austin Watson, 1.176595744680851, 1.0714285714285714, 1.1885964912280702, 1.0555555555555556
Thomas Chabot, 2.71505376344086, 2.4518716577540105, 2.0, 2.23728813559322
Mathieu Joseph, 0.8333333333333334, 1.1756272401433692, 1.15, 1.8
Julien Gauthier, 1.143835616438356, 1.1066666666666667, 1.206896551724138, 1.25
Alex DeBrincat, 2.87816091954023, 3.0, 2.939814814814815, 2.7714285714285714
Jakob Chychrun, 2.3142857142857145, 2.376315789473684, 2.5714285714285716, 2.2804232804232805
Dylan Gambrell, 0.85, 0.7272727272727273, 0.8679245283018868, 0.9555555555555556
Erik Brannstrom, 1.2742857142857142, 1.5384615384615385, 1.372093023255814, 1.0
Drake Batherson, 0.75, 2.2122641509433962, 2.409090909090909, 2.3545454545454545
Mark Kastelic, 1.0289855072463767, 3.0, 1.1666666666666667, 1.1428571428571428
Parker Kelly, 1.1134020618556701, 2.0, 1.1153846153846154, 1.4
Brady Tkachuk, 3.6666666666666665, 3.759259259259259, 3.6424418604651163, 3.6511627906976742
Kevin Mandolese, 0, 34.0, 36.333333333333336, 'NULL'
Mads Sogaard, 0, 24.25, 22.0, 23.833333333333332
Shane Pinto, 1.6428571428571428, 2.142857142857143, 1.7380952380952381, 1.0
Jake Sanderson, 1.564516129032258, 1.3666666666666667, 5.0, 1.2857142857142858
Artem Zub, 0.963855421686747, 1.0, 0.8857142857142857
